Age,Job,Income,Married,Credit_Score,Own_House,Loan_Approved
<=25,Student,Low,No,Poor,No,No
26...35,Engineer,Medium,Yes,Average,No,Yes
>35,Doctor,High,Yes,Good,Yes,Yes
<=25,Clerk,Low,No,Poor,No,No
26...35,Engineer,Medium,Yes,Good,Yes,Yes
>35,Teacher,Medium,Yes,Good,Yes,Yes
<=25,Student,Low,No,Average,No,No
26...35,Doctor,High,No,Good,Yes,Yes
>35,Engineer,High,Yes,Excellent,Yes,Yes
26...35,Clerk,Medium,Yes,Average,No,No
<=25,Student,Low,No,Poor,No,No
26...35,Doctor,High,Yes,Excellent,Yes,Yes
>35,Teacher,High,Yes,Good,Yes,Yes
<=25,Clerk,Low,No,Poor,No,No
26...35,Engineer,Medium,Yes,Average,Yes,Yes
>35,Doctor,High,Yes,Excellent,Yes,Yes
<=25,Student,Low,No,Average,No,No
26...35,Teacher,Medium,Yes,Good,Yes,Yes
>35,Clerk,Low,Yes,Poor,No,No
<=25,Engineer,Low,No,Poor,No,No
>35,Doctor,High,Yes,Good,Yes,Yes
